time,open,high,low,close,volume
2020-01-02,2.5,2.5,2.3,2.3,25144
2020-01-03,2.4,2.5,2.3,2.4,41300
2020-01-06,2.4,2.4,2.3,2.3,52000
2020-01-07,2.4,2.5,2.3,2.5,108400
2020-01-08,2.6,2.6,2.4,2.4,6500
2020-01-09,2.4,2.4,2.3,2.3,12400
2020-01-10,2.3,2.5,2.3,2.4,118700
2020-01-13,2.4,2.6,2.3,2.6,178000
2020-01-14,2.6,2.7,2.6,2.6,120800
2020-01-15,2.5,2.8,2.5,2.8,107200
2020-01-16,3.0,3.0,2.9,3.0,153800
2020-01-17,3.0,3.3,3.0,3.3,211100
2020-01-20,3.2,3.3,3.0,3.0,97400
2020-01-21,2.8,2.9,2.7,2.9,64200
2020-01-22,2.8,2.8,2.7,2.8,48600
2020-01-30,2.6,2.8,2.6,2.7,61800
2020-01-31,2.8,2.8,2.5,2.5,105800
2020-02-03,2.5,2.7,2.5,2.7,99500
2020-02-04,2.7,2.8,2.6,2.8,36800
2020-02-05,2.8,2.8,2.6,2.6,88600
2020-02-06,2.5,2.6,2.4,2.6,101400
2020-02-07,2.6,2.6,2.5,2.6,11100
2020-02-10,2.5,2.7,2.4,2.6,61400
2020-02-11,2.6,2.7,2.6,2.6,11200
2020-02-12,2.7,2.7,2.5,2.6,17320
2020-02-13,2.6,2.6,2.5,2.6,30100
2020-02-14,2.5,2.6,2.5,2.6,16800
2020-02-17,2.6,2.6,2.4,2.6,27200
2020-02-18,2.6,2.6,2.4,2.5,30200
2020-02-19,2.4,2.6,2.4,2.5,174800
2020-02-20,2.4,2.6,2.4,2.6,59500
2020-02-21,2.5,2.6,2.4,2.5,63500
2020-02-24,2.6,2.6,2.5,2.6,55800
2020-02-25,2.5,2.6,2.5,2.6,5500
2020-02-26,2.5,2.5,2.5,2.5,79300
2020-02-27,2.4,2.6,2.4,2.6,63300
2020-02-28,2.5,2.6,2.5,2.5,12300
2020-03-02,2.6,2.6,2.6,2.6,100
2020-03-03,2.5,2.5,2.4,2.4,76500
2020-03-04,2.3,2.4,2.2,2.4,86400
2020-03-05,2.4,2.5,2.4,2.5,56785
2020-03-06,2.4,2.5,2.4,2.5,6215
2020-03-09,2.4,2.5,2.3,2.5,38000
2020-03-10,2.5,2.5,2.3,2.4,58005
2020-03-11,2.5,2.5,2.2,2.3,106400
2020-03-12,2.2,2.3,2.1,2.3,183100
2020-03-13,2.2,2.3,2.1,2.3,117400
2020-03-16,2.2,2.2,2.1,2.1,194400
2020-03-17,2.0,2.2,2.0,2.1,101419
2020-03-18,2.0,2.2,2.0,2.2,11669
2020-03-19,2.2,2.2,2.0,2.1,33800
2020-03-20,2.1,2.1,2.0,2.1,13700
2020-03-23,2.0,2.0,1.9,1.9,109000
2020-03-24,1.8,1.9,1.8,1.8,115320
2020-03-25,1.8,1.9,1.8,1.9,5100
2020-03-26,1.9,2.0,1.9,1.9,2000
2020-03-27,1.9,1.9,1.8,1.9,157100
2020-03-30,1.8,1.9,1.8,1.8,9100
2020-03-31,1.8,1.8,1.7,1.8,24205
2020-04-01,1.7,1.8,1.7,1.8,13600
2020-04-03,1.7,1.8,1.7,1.8,20600
2020-04-06,1.7,1.8,1.7,1.8,5800
2020-04-07,1.8,1.9,1.7,1.8,6600
2020-04-08,1.7,1.8,1.7,1.7,18500
2020-04-09,1.7,1.8,1.7,1.8,40400
2020-04-10,1.7,1.9,1.7,1.9,129100
2020-04-13,1.9,1.9,1.8,1.9,25400
2020-04-14,1.8,1.9,1.8,1.9,31500
2020-04-15,1.9,1.9,1.8,1.9,3700
2020-04-16,1.8,1.9,1.8,1.9,700
2020-04-17,1.8,1.9,1.8,1.9,43700
2020-04-20,1.8,1.9,1.8,1.8,29500
2020-04-21,1.7,1.8,1.7,1.8,48200
2020-04-22,1.7,1.8,1.7,1.8,43600
2020-04-23,1.7,1.8,1.7,1.8,16322
2020-04-24,1.7,1.8,1.7,1.8,102400
2020-04-27,1.7,1.8,1.7,1.8,69600
2020-04-28,1.7,1.8,1.7,1.7,50900
2020-04-29,1.6,1.8,1.6,1.8,61500
2020-05-04,1.7,1.8,1.7,1.7,29700
2020-05-05,1.6,1.7,1.6,1.7,2600
2020-05-06,1.6,1.7,1.6,1.7,48200
2020-05-07,1.6,1.7,1.6,1.7,145300
2020-05-08,1.7,1.7,1.6,1.7,10000
2020-05-11,1.7,1.7,1.6,1.7,4600
2020-05-12,1.7,1.7,1.6,1.6,5700
2020-05-13,1.7,1.7,1.6,1.7,4400
2020-05-14,1.6,1.7,1.6,1.6,60000
2020-05-15,1.7,1.7,1.6,1.7,31700
2020-05-18,1.7,1.8,1.6,1.7,27800
2020-05-19,1.7,1.7,1.7,1.7,4200
2020-05-20,1.7,1.8,1.7,1.8,22800
2020-05-21,1.8,1.8,1.7,1.7,25300
2020-05-22,1.7,1.8,1.6,1.8,29000
2020-05-25,1.8,1.8,1.7,1.7,145010
2020-05-26,1.8,1.8,1.7,1.8,19924
2020-05-27,1.8,1.8,1.7,1.7,31200
2020-05-28,1.8,1.8,1.7,1.8,5000
2020-05-29,1.8,1.8,1.7,1.7,39000
2020-06-01,1.8,1.8,1.8,1.8,50300
2020-06-02,1.9,1.9,1.7,1.8,50500
2020-06-03,1.8,1.9,1.8,1.8,98320
2020-06-04,1.9,1.9,1.8,1.8,106900
2020-06-05,1.8,1.9,1.8,1.9,130301
2020-06-08,1.9,2.0,1.9,1.9,20678
2020-06-09,1.9,2.0,1.9,2.0,36010
2020-06-10,2.1,2.1,2.0,2.1,33810
2020-06-11,2.1,2.1,2.0,2.1,34610
2020-06-12,2.0,2.1,2.0,2.0,56600
2020-06-15,2.1,2.2,1.9,2.2,245158
2020-06-16,2.3,2.4,2.3,2.4,163132
2020-06-17,2.5,2.6,2.3,2.5,146500
2020-06-18,2.4,2.6,2.3,2.6,192400
2020-06-19,2.4,2.8,2.4,2.8,215468
2020-06-22,2.8,2.8,2.6,2.7,70805
2020-06-23,2.5,2.6,2.5,2.6,89900
2020-06-24,2.4,2.6,2.4,2.6,147500
2020-06-25,2.4,2.8,2.4,2.8,222600
2020-06-26,2.7,3.0,2.6,2.8,72835
2020-06-29,2.6,2.6,2.6,2.6,37000
2020-06-30,2.4,2.6,2.4,2.6,97100
2020-07-01,2.4,2.7,2.4,2.5,22010
2020-07-02,2.4,2.6,2.3,2.3,47600
2020-07-03,2.4,2.5,2.1,2.3,118056
2020-07-06,2.2,2.5,2.1,2.4,43500
2020-07-07,2.3,2.4,2.2,2.4,11800
2020-07-08,2.2,2.5,2.2,2.4,24700
2020-07-09,2.2,2.6,2.2,2.4,60300
2020-07-10,2.4,2.6,2.4,2.6,57610
2020-07-13,2.4,2.6,2.4,2.6,131400
2020-07-14,2.7,2.8,2.5,2.6,928500
2020-07-15,2.6,2.8,2.6,2.8,110870
2020-07-16,2.9,3.0,2.8,3.0,195407
2020-07-17,2.8,2.9,2.7,2.9,118500
2020-07-20,2.9,3.0,2.8,3.0,82200
2020-07-21,2.7,3.3,2.7,3.3,80677
2020-07-22,3.3,3.4,3.2,3.2,31000
2020-07-23,2.9,3.5,2.9,3.4,66600
2020-07-24,3.4,3.7,3.1,3.1,98800
2020-07-27,2.8,3.4,2.8,3.4,113800
2020-07-28,3.2,3.7,3.2,3.6,26100
2020-07-29,3.5,3.9,3.5,3.9,60400
2020-07-30,4.0,4.2,4.0,4.2,180100
2020-07-31,4.2,4.6,4.0,4.3,30100
2020-08-03,4.2,4.4,3.9,4.1,96800
2020-08-04,4.0,4.1,3.7,3.8,86600
2020-08-05,3.5,4.0,3.5,3.9,23300
2020-08-06,3.7,4.2,3.6,4.2,432470
2020-08-07,4.3,4.4,3.9,4.0,36900
2020-08-10,4.4,4.4,3.6,3.6,285400
2020-08-11,3.6,3.9,3.4,3.9,128800
2020-08-12,3.7,4.2,3.7,4.2,287247
2020-08-13,4.5,4.5,4.0,4.2,72300
2020-08-14,4.3,4.3,3.9,4.0,49900
2020-08-17,4.0,4.3,4.0,4.0,19800
2020-08-18,4.0,4.2,3.8,3.9,22200
2020-08-19,3.6,4.2,3.6,4.2,224300
2020-08-20,3.9,4.6,3.9,4.6,533000
2020-08-21,4.3,4.6,4.2,4.6,130200
2020-08-24,4.6,4.8,4.4,4.8,22200
2020-08-25,4.8,5.1,4.6,5.0,293120
2020-08-26,4.8,5.1,4.5,5.1,115300
2020-08-27,5.0,5.2,4.6,5.1,29900
2020-08-28,5.1,5.1,4.8,5.1,61801
2020-08-31,4.8,5.2,4.8,4.8,37400
2020-09-01,4.8,5.0,4.6,4.8,43200
2020-09-03,5.0,5.0,4.4,4.5,46100
2020-09-04,4.7,4.8,4.3,4.8,103810
2020-09-07,4.6,5.0,4.6,4.9,8800
2020-09-08,4.6,4.9,4.6,4.9,86800
2020-09-09,4.8,5.0,4.6,4.8,8600
2020-09-10,4.9,4.9,4.6,4.9,23610
2020-09-11,5.0,5.0,4.5,4.8,114000
2020-09-14,4.6,5.2,4.6,4.8,114100
2020-09-15,4.6,5.1,4.6,5.0,7800
2020-09-16,4.7,5.1,4.7,4.9,30900
2020-09-17,4.7,5.3,4.7,5.3,200710
2020-09-18,5.1,5.3,5.0,5.3,610
2020-09-21,4.8,5.4,4.8,5.1,22000
2020-09-22,4.8,5.6,4.8,4.8,23210
2020-09-23,4.6,5.1,4.6,4.9,105800
2020-09-24,4.6,5.0,4.6,4.6,204800
2020-09-25,5.0,5.0,4.6,4.8,53600
2020-09-28,4.6,4.9,4.4,4.7,553110
2020-09-29,4.4,5.0,4.4,4.4,39400
2020-09-30,4.6,4.8,4.2,4.6,3420
2020-10-01,4.6,4.7,4.4,4.4,57400
2020-10-02,4.6,4.7,4.4,4.5,78000
2020-10-05,4.6,4.7,4.1,4.4,160300
2020-10-06,4.5,4.7,4.3,4.6,193600
2020-10-07,4.7,4.7,4.2,4.5,117000
2020-10-08,4.3,4.6,4.2,4.2,43200
2020-10-09,4.4,4.4,4.0,4.2,28300
2020-10-12,4.3,4.4,4.0,4.4,11500
2020-10-13,4.4,4.4,4.0,4.0,31200
2020-10-14,4.0,4.2,4.0,4.0,23300
2020-10-15,3.9,4.3,3.8,4.2,156900
2020-10-16,4.2,4.3,3.8,4.0,62300
2020-10-19,4.0,4.2,3.6,3.8,129300
2020-10-20,3.8,4.1,3.6,4.1,102500
2020-10-21,4.1,4.1,3.7,4.1,94000
2020-10-22,4.1,4.2,3.9,4.2,16000
2020-10-23,4.2,4.3,4.0,4.2,298400
2020-10-26,4.0,4.5,4.0,4.3,83100
2020-10-27,4.3,4.3,4.2,4.2,101100
2020-10-28,4.3,4.3,3.8,3.9,35300
2020-10-29,4.1,4.2,3.7,3.9,40100
2020-10-30,4.1,4.1,3.6,3.6,27200
2020-11-02,3.8,3.9,3.7,3.8,307200
2020-11-03,3.9,3.9,3.8,3.9,54200
2020-11-04,3.6,3.9,3.6,3.8,167100
2020-11-05,3.6,3.7,3.5,3.7,89900
2020-11-06,3.7,3.8,3.4,3.8,138800
2020-11-09,3.5,3.8,3.5,3.7,1300
2020-11-10,3.8,3.8,3.6,3.6,540700
2020-11-11,3.7,3.9,3.5,3.9,259700
2020-11-12,3.9,4.1,3.8,4.0,17500
2020-11-13,3.8,4.3,3.8,4.0,23100
2020-11-16,4.4,4.4,3.9,4.0,59000
2020-11-17,4.4,4.4,4.0,4.1,1300
2020-11-18,4.4,4.4,3.9,4.2,30100
2020-11-19,4.0,4.1,4.0,4.0,30200
2020-11-20,4.2,4.2,3.9,4.1,47300
2020-11-23,3.9,4.4,3.9,4.2,15500
2020-11-24,4.2,4.2,3.8,4.2,91700
2020-11-25,3.8,4.2,3.8,4.2,1700
2020-11-26,3.8,4.2,3.8,4.0,76700
2020-11-27,3.8,4.1,3.6,3.7,227600
2020-11-30,3.8,3.9,3.8,3.9,4100
2020-12-01,4.0,4.0,3.6,4.0,155400
2020-12-02,3.6,4.0,3.6,4.0,159600
2020-12-03,4.0,4.0,3.8,4.0,400
2020-12-04,3.6,4.0,3.6,3.7,52500
2020-12-07,3.8,3.9,3.5,3.8,7200
2020-12-08,3.9,3.9,3.9,3.9,100
2020-12-09,3.6,3.7,3.6,3.6,13800
2020-12-10,3.4,3.7,3.4,3.7,57100
2020-12-11,3.4,3.7,3.4,3.6,16300
2020-12-14,3.7,3.8,3.4,3.5,15900
2020-12-15,3.4,3.7,3.4,3.5,93800
2020-12-16,3.7,3.7,3.5,3.5,46400
2020-12-17,3.5,3.6,3.4,3.5,10600
2020-12-18,3.4,3.6,3.4,3.5,15200
2020-12-21,3.6,3.6,3.4,3.5,7000
2020-12-22,3.6,3.6,3.3,3.5,12600
2020-12-23,3.5,3.6,3.3,3.4,88400
2020-12-24,3.5,3.5,3.4,3.4,4300
2020-12-25,3.5,3.6,3.3,3.5,29700
2020-12-28,3.4,3.4,3.3,3.4,15300
2020-12-29,3.2,3.5,3.2,3.4,10700
2020-12-30,3.2,3.5,3.2,3.3,17845
2020-12-31,3.4,3.4,3.3,3.4,7303
